cardholderid,amount_avg_withdrawal,amount_std_withdrawal,withdrawal_day,amount_avg_deposit,amount_std_deposit,deposit_day,inquiry_day,amount_avg_transfer,amount_std_transfer,transfer_day
KN-005-1121,18723.58,21409.86,0.337,10913.04,5783.31,0.063,0.063,18102.04,21798.55,0.1342
RI-007-1041,24902.44,26442.88,0.5616,10264.71,5727.7,0.0932,0.0986,19666.67,21314.03,0.263
FC-001-1024,20015.62,22162.58,1.0521,9818.18,5303.24,0.211,0.1918,22340.91,23649.53,0.4822
EN-008-1046,22519.82,24980.23,0.6219,10771.43,6116.93,0.0959,0.137,18913.98,19718.48,0.2548
EN-008-1080,22043.86,25147.81,0.6247,10425.53,5652.03,0.1288,0.1315,20817.07,21625.96,0.2247
KN-005-1172,22071.43,25969.95,0.2685,12741.94,6402.96,0.0849,0.0795,13975.61,12293.27,0.1123
FC-006-1035,22121.66,24161.66,0.9233,8679.25,6408.45,0.1452,0.1781,21202.7,24648.26,0.4055
EN-009-1032,23471.15,24432.08,0.5699,9698.11,5242.52,0.1452,0.1479,24891.57,26324.9,0.2274
LA-006-1249,24147.06,26757.58,0.2795,10562.5,5988.53,0.0438,0.0493,27090.91,28744.92,0.1205
LA-011-1064,18784.95,22176.59,0.2548,12043.48,6204.68,0.063,0.0411,23878.05,29038.07,0.1123
EN-006-1021,22015.5,23078.78,0.7068,10562.5,5461.3,0.1315,0.1096,21855.42,26153.92,0.2274
LA-003-1154,23423.91,27904.17,0.2521,12294.12,6007.96,0.0466,0.0274,22468.75,17180.23,0.0877
FC-006-1034,21884.62,23762.71,0.926,10461.54,6829.45,0.2137,0.1918,20838.24,23947.54,0.3726
LA-015-1006,21615.38,20133.47,0.2137,12357.14,6020.57,0.0384,0.0438,18114.29,19761.48,0.0959
EN-001-1031,22683.33,25820.26,0.6575,11000.0,5735.85,0.1123,0.137,20297.87,22144.12,0.2575
FC-001-1030,21309.97,24492.88,1.0164,9552.63,6060.57,0.2082,0.1507,24464.79,27064.06,0.389
FC-005-1017,22985.51,25881.94,0.9452,9148.65,7029.65,0.2027,0.1863,20622.81,23351.64,0.3123
FC-006-1033,24035.71,25104.55,0.9973,9452.05,5960.61,0.2,0.1562,20903.7,24589.43,0.3699
KN-004-1040,19320.0,21530.77,0.3425,11217.39,5591.85,0.063,0.0795,22240.0,26595.66,0.137
LA-006-1050,22308.41,24907.91,0.2932,13294.12,6640.45,0.0466,0.0466,18292.68,15948.74,0.1123
EN-001-1043,18106.98,20036.25,0.589,11733.33,5836.41,0.1233,0.1288,20272.73,24758.01,0.2411
FC-006-1029,24348.77,25980.56,0.8877,11144.74,6290.11,0.2082,0.2356,20604.32,23002.72,0.3808
KN-002-1217,19806.72,22669.06,0.326,10095.24,5872.86,0.0575,0.0548,18618.18,15081.86,0.1507
EN-009-1079,21127.19,24092.09,0.6247,10866.67,5742.98,0.1233,0.1342,17724.77,20483.45,0.2986
RI-005-1090,18605.41,18854.74,0.5068,12157.89,6227.78,0.1041,0.1096,21465.91,24205.51,0.2411
FC-004-1008,22479.78,25049.39,1.0164,9157.89,6292.96,0.2082,0.2274,20956.52,22232.11,0.4411
LA-003-1120,22593.75,22573.57,0.3507,14666.67,6249.71,0.0493,0.0438,20925.0,25673.88,0.1096
KN-002-1198,23456.9,25012.48,0.3178,10785.71,6081.89,0.0767,0.0712,22887.1,25589.51,0.1699
RI-003-1022,21633.33,23802.09,0.5753,11200.0,5590.58,0.1233,0.0986,12561.64,14175.47,0.2
FC-002-1007,21937.93,24509.22,0.7945,7947.37,6730.58,0.1562,0.2356,21081.63,23442.88,0.4027
EN-007-1065,20457.4,21853.25,0.611,9325.58,5041.36,0.1178,0.137,21917.53,23369.62,0.2658
EN-008-1073,22627.19,24567.39,0.6247,10924.53,5669.92,0.1452,0.1452,19831.78,20112.18,0.2932
LA-002-1143,21602.04,22257.97,0.2685,12294.12,6039.09,0.0466,0.0521,19769.23,20984.28,0.1068
FC-006-1027,19413.9,21898.13,0.9068,10486.11,6601.31,0.1973,0.1945,22208.33,23804.24,0.3945
LA-014-1126,21219.3,21883.34,0.3123,11222.22,5775.77,0.0493,0.0438,20384.62,21502.28,0.1068
LA-012-1074,25065.42,23727.73,0.2932,12312.5,5534.36,0.0438,0.0521,24452.38,24534.9,0.1151
RI-010-1081,21309.86,23346.2,0.5836,11590.91,6012.85,0.1205,0.126,20384.62,23559.94,0.2137
EN-003-1066,19538.79,20537.97,0.6356,11333.33,5836.67,0.1397,0.1233,16250.0,14268.11,0.263
EN-003-1072,23008.47,24747.06,0.6466,11045.45,5451.5,0.1205,0.1397,20267.33,20909.28,0.2767
FC-006-1011,22586.39,24658.12,1.0466,9672.73,6495.17,0.1507,0.1918,25528.99,24938.23,0.3781
LA-009-1064,23048.54,24979.75,0.2822,11590.91,6021.07,0.0603,0.063,14828.57,18327.87,0.0959
FC-004-1030,22380.1,24008.22,1.074,9787.88,6884.8,0.1808,0.1562,18827.59,20963.04,0.3973
FC-005-1041,21698.41,23736.37,1.0356,9250.0,6416.74,0.1753,0.1808,21496.12,24144.79,0.3534
EN-009-1057,19242.68,22249.15,0.6548,10333.33,5223.09,0.1068,0.1205,16764.04,18389.12,0.2438
KN-008-1163,20484.21,24930.91,0.2603,10961.54,5786.06,0.0712,0.0658,24777.78,27744.69,0.1233
EN-008-1059,18917.39,21343.87,0.6301,10541.67,5735.14,0.1315,0.137,19229.89,20129.64,0.2384
FC-006-1030,20932.55,23362.08,0.9342,10786.89,6465.59,0.1671,0.2027,20582.73,23683.57,0.3808
FC-005-1030,23042.49,24540.46,0.9671,9359.38,6032.63,0.1753,0.1753,16641.22,19888.95,0.3589
RI-008-1038,19759.62,20943.22,0.5699,11342.11,5762.3,0.1041,0.0822,19169.01,22112.69,0.1945
FC-002-1006,23644.78,26152.52,0.9178,9559.52,6387.77,0.2301,0.2082,20352.11,21218.95,0.389
FC-004-1027,21518.73,25070.57,0.9507,7852.46,6987.69,0.1671,0.2384,22108.7,24581.37,0.3781
EN-006-1094,21438.6,22282.15,0.6247,12021.74,6079.07,0.126,0.1397,21488.64,23787.37,0.2411
FC-002-1038,21645.33,24723.38,1.0274,11144.93,7111.04,0.189,0.1753,18951.72,22734.99,0.3973
KN-008-1182,18912.09,22762.37,0.2493,12083.33,6426.28,0.0658,0.0849,19318.18,18975.84,0.1205
EN-009-1045,18573.12,18662.83,0.6932,10931.82,5796.54,0.1205,0.1479,19446.81,21290.42,0.2575
RI-005-1019,19354.07,24814.48,0.5726,11717.95,6138.53,0.1068,0.1178,20231.71,19277.25,0.2247
FC-005-1011,22229.36,23635.64,0.8959,10409.09,6430.64,0.1808,0.1945,22419.58,21559.42,0.3918
FC-002-1021,21784.12,24567.01,1.1041,9743.9,6736.32,0.2247,0.2247,19331.43,22186.1,0.4795
EN-001-1052,19721.97,21583.36,0.611,12107.14,6125.0,0.1534,0.1425,20968.75,24993.24,0.263
KN-003-1102,16454.55,18558.47,0.3315,13200.0,6412.16,0.0548,0.0767,18266.67,23465.06,0.1233
KN-006-1060,20798.25,20132.38,0.3123,10050.0,5355.52,0.0548,0.0877,19911.11,18422.84,0.1233
RI-008-1027,22067.57,24914.69,0.6082,11974.36,5936.01,0.1068,0.1178,21922.08,24173.04,0.211
KN-004-1012,23400.0,27702.95,0.3014,11714.29,5604.84,0.0575,0.0438,26666.67,25924.06,0.1315
FC-005-1039,22406.69,24512.72,0.9836,9046.88,6432.63,0.1753,0.2027,17771.24,22356.71,0.4192
FC-005-1043,22508.88,24575.84,0.926,9955.22,6715.95,0.1836,0.189,17871.21,23484.09,0.3616
EN-006-1008,19241.38,20974.66,0.5562,10770.83,6175.59,0.1315,0.1205,17323.53,19735.14,0.1863
FC-002-1015,21691.73,23344.11,1.0932,9946.67,7439.66,0.2055,0.2247,20275.17,22289.21,0.4082
FC-002-1024,24482.19,24991.71,1.0,8529.41,5596.74,0.2329,0.2329,19235.29,25849.49,0.3726
FC-005-1005,22696.59,24791.95,0.8849,11000.0,7342.72,0.1973,0.1945,21761.54,22659.19,0.3562
FC-005-1016,21800.62,22937.09,0.8795,9419.75,6410.66,0.2219,0.1973,20917.29,23901.64,0.3644
FC-006-1024,22377.25,25688.74,0.9151,10272.73,7008.89,0.1808,0.1479,18529.41,19374.45,0.4192
LA-001-1194,21347.83,22230.78,0.2521,8850.0,4120.23,0.0548,0.0521,17694.44,18429.51,0.0986
LA-004-1091,18202.25,18073.2,0.2438,10882.35,5555.2,0.0466,0.0685,24000.0,27476.74,0.0986
EN-009-1023,18914.53,21658.91,0.6411,11127.27,5477.41,0.1507,0.1342,21030.0,25424.66,0.274
FC-003-1015,21079.89,23680.46,0.9945,10253.33,6782.52,0.2055,0.2082,23063.83,27189.86,0.3863
LA-005-1117,19772.73,21701.6,0.2411,13400.0,6244.16,0.0548,0.0712,20000.0,20608.91,0.0932
LA-015-1111,19250.0,20600.66,0.1973,12846.15,6025.59,0.0356,0.0466,22500.0,22764.21,0.1205
KN-002-1052,24558.56,25817.78,0.3041,11037.04,5632.88,0.074,0.0712,26869.57,27331.39,0.126
RI-004-1016,19573.6,22062.78,0.5397,12534.88,6299.47,0.1178,0.126,26202.38,27200.19,0.2301
KN-007-1162,19950.41,20736.38,0.3315,11521.74,5945.74,0.063,0.0603,21181.82,22554.61,0.1205
EN-007-1017,21247.86,23194.42,0.6411,11877.55,6159.79,0.1342,0.1397,18875.0,21431.8,0.1973
KN-010-1188,18277.37,20565.44,0.3753,11416.67,5323.59,0.0658,0.0658,22080.0,25246.41,0.137
LA-010-1013,24663.55,25335.84,0.2932,12500.0,6047.89,0.0384,0.0712,23444.44,25492.03,0.1233
FC-006-1021,22393.77,26156.88,0.9671,10473.68,6708.15,0.2082,0.1945,23323.74,25017.16,0.3808
LA-006-1244,23456.14,23807.54,0.3123,10636.36,6281.29,0.0301,0.0658,18054.05,22335.75,0.1014
EN-006-1055,19365.22,22929.1,0.6301,13043.48,6296.23,0.126,0.1041,23560.98,25690.99,0.2247
EN-009-1051,20581.63,23559.17,0.537,11355.56,5812.04,0.1233,0.1205,21441.18,23336.36,0.2795
FC-002-1012,22760.36,24301.37,0.926,9687.5,7143.37,0.2192,0.2055,23121.74,23395.21,0.3151
FC-005-1012,22914.89,24410.34,0.9014,10880.0,6275.13,0.2055,0.211,24093.02,26173.23,0.3534
LA-015-1258,27726.32,26878.55,0.2603,12461.54,6385.08,0.0356,0.0493,15535.71,20358.79,0.0767
LA-007-1276,22306.12,23108.18,0.2685,11500.0,5933.85,0.0548,0.0356,18727.27,20325.9,0.0904
LA-014-1074,23134.62,24127.52,0.2849,12440.0,5993.61,0.0685,0.0466,17894.74,20003.77,0.1041
KN-005-1145,21258.33,24007.88,0.3288,12318.18,6066.19,0.0603,0.0521,21640.0,18978.79,0.137
LA-005-1246,20701.03,20852.24,0.2658,10500.0,5436.8,0.0493,0.0411,21177.78,20478.69,0.1233
RI-001-1092,21985.0,23565.26,0.5479,11147.06,5246.25,0.0932,0.1123,18328.95,20899.37,0.2082
LA-004-1092,23494.95,25209.88,0.2712,9923.08,4838.41,0.0356,0.0438,17857.14,21990.65,0.1151
EN-009-1091,19770.56,21316.95,0.6329,11625.0,6399.87,0.1096,0.1397,23669.9,26746.23,0.2822
FC-006-1020,21231.38,23208.67,1.0301,9957.75,7023.3,0.1945,0.2329,15828.57,17992.38,0.3836
FC-005-1004,21857.14,24907.56,0.9589,10067.57,6660.72,0.2027,0.1781,22100.78,25189.24,0.3534
LA-011-1248,22188.12,23095.76,0.2767,13115.38,6623.15,0.0712,0.0548,17621.62,19274.84,0.1014
EN-001-1092,20274.07,21621.08,0.7397,13333.33,6005.55,0.1397,0.126,16789.47,19509.9,0.2603
KN-007-1202,27663.55,29648.55,0.2932,11181.82,5803.42,0.0603,0.0603,22600.0,23802.76,0.137
FC-004-1036,22304.22,24533.61,0.9096,8232.88,7237.1,0.2,0.2137,19168.75,22191.91,0.4384
EN-008-1019,20773.33,23082.87,0.6164,11125.0,5390.44,0.1534,0.1342,21047.17,21199.45,0.2904
LA-014-1241,27989.36,28493.16,0.2575,11740.74,6118.02,0.074,0.0548,21744.19,25606.08,0.1178
LA-015-1291,29350.52,28247.43,0.2658,13928.57,6366.55,0.0384,0.0603,17321.43,20033.4,0.0767
LA-011-1077,22365.59,21242.79,0.2548,10960.0,5450.38,0.0685,0.0329,20031.25,21261.03,0.0877
KN-004-1066,22201.68,25822.92,0.326,14560.0,5845.8,0.0685,0.0575,19348.84,19998.67,0.1178
RI-005-1101,19118.92,20218.29,0.5068,10785.71,5425.93,0.1151,0.126,17944.44,21583.05,0.1973
KN-001-1020,20923.66,24941.35,0.3589,10625.0,5265.53,0.0877,0.0849,20348.84,23130.98,0.1178
KN-010-1122,20188.52,25139.06,0.3342,9312.5,4541.93,0.0438,0.0438,26131.58,27094.6,0.1041
LA-015-1131,22560.75,24208.29,0.2932,11130.43,5537.51,0.063,0.0438,22190.48,26683.55,0.1151
EN-006-1005,20427.23,21349.75,0.5836,11617.02,6012.86,0.1288,0.1205,20250.0,21537.73,0.263
FC-006-1032,22611.11,23936.13,0.8877,8456.79,6231.07,0.2219,0.1781,23375.89,24087.5,0.3863
EN-004-1092,19023.72,21291.8,0.6932,11860.47,5922.44,0.1178,0.1205,22215.19,23303.28,0.2164
RI-004-1014,19337.78,21621.16,0.6164,10135.14,5503.34,0.1014,0.1288,22074.47,26312.53,0.2575
EN-004-1091,19735.85,22529.94,0.5808,12232.56,5870.98,0.1178,0.126,18280.9,20464.49,0.2438
LA-009-1250,19410.26,20458.03,0.2137,10800.0,4948.15,0.0548,0.0411,22333.33,18854.6,0.1151
FC-006-1022,22018.29,25209.57,0.8986,9937.5,6881.17,0.2192,0.2,22280.7,24036.3,0.3123
FC-006-1031,20231.84,22212.48,0.9808,10661.76,6391.72,0.1863,0.1918,24797.39,24514.32,0.4192
KN-006-1193,23522.12,23042.31,0.3096,11307.69,6058.18,0.0712,0.0493,19577.78,21138.6,0.1233
KN-002-1183,22147.89,25112.22,0.389,12480.0,5979.97,0.0685,0.0548,18681.82,19972.97,0.1205
KN-004-1156,17783.78,22510.36,0.3041,10523.81,4986.17,0.0575,0.0438,22578.95,23049.46,0.1041
EN-009-1089,21326.53,20924.13,0.6712,12333.33,6023.76,0.0986,0.1507,16442.11,16443.79,0.2603
RI-007-1062,22475.73,24626.91,0.5644,11177.78,5593.38,0.1233,0.1068,20513.16,22027.55,0.2082
KN-010-1128,19828.83,20858.78,0.3041,14000.0,6053.33,0.0795,0.063,24352.94,24643.72,0.1397
FC-006-1010,23966.26,25436.66,0.8932,9272.73,6874.12,0.211,0.2055,22301.37,24935.61,0.4
LA-001-1235,21548.39,18255.74,0.2548,11083.33,5516.12,0.0658,0.0384,22250.0,25166.88,0.1096
RI-005-1095,19842.11,20400.06,0.5726,11232.14,5783.96,0.1534,0.1205,21428.57,23147.02,0.1918
RI-007-1082,21003.98,22594.95,0.6877,12314.29,5865.01,0.0959,0.126,23295.45,25550.56,0.2411
EN-007-1087,20396.4,20759.46,0.6082,12068.18,5658.49,0.1205,0.0986,16521.74,21870.99,0.2521
EN-008-1066,19324.68,21856.31,0.6329,11416.67,5184.45,0.0986,0.1205,19625.0,22200.92,0.2411
EN-005-1061,20943.66,22859.63,0.5836,11706.9,5991.25,0.1589,0.1288,21686.87,24657.92,0.2712
FC-006-1002,22151.1,24525.51,0.9973,8655.56,6694.22,0.2466,0.2164,20947.76,20852.62,0.3671
RI-002-1027,20272.28,20495.12,0.5534,15346.15,6092.24,0.0712,0.0986,18756.41,21765.69,0.2137
LA-013-1175,21963.41,23260.97,0.2247,11458.33,6419.94,0.0658,0.0493,21515.15,22262.81,0.0904
LA-006-1181,21126.21,21168.18,0.2822,11315.79,6191.86,0.0521,0.0603,20365.85,25069.66,0.1123
RI-001-1001,20972.07,23043.05,0.4904,11000.0,6101.0,0.1014,0.1233,19742.86,19771.66,0.1918
KN-002-1055,18037.74,18761.12,0.2904,11884.62,5673.28,0.0712,0.0411,17048.78,18845.36,0.1123
LA-005-1231,20866.67,20553.68,0.2466,9454.55,5410.43,0.0301,0.0712,14210.53,10343.19,0.1041
FC-003-1011,22426.59,24164.96,0.989,8351.85,7090.14,0.1479,0.1726,19297.71,20586.66,0.3589
KN-009-1146,23629.31,25044.15,0.3178,14285.71,6262.13,0.0575,0.0603,21534.88,24025.13,0.1178
FC-005-1040,20894.41,23110.35,0.8822,10209.88,6553.08,0.2219,0.1918,21509.68,21919.38,0.4247
RI-007-1038,19204.3,20789.84,0.5096,11918.92,5856.52,0.1014,0.0904,22426.67,23571.73,0.2055
RI-007-1102,22566.84,26236.51,0.5123,11410.26,5669.48,0.1068,0.0904,20693.33,24480.53,0.2055
KN-006-1022,19623.76,21394.32,0.2767,12263.16,6172.0,0.0521,0.0712,20151.52,21738.68,0.0904
EN-007-1093,19403.76,20552.2,0.5836,11957.45,6035.97,0.1288,0.1178,13705.88,13053.76,0.2329
LA-011-1023,21842.7,23711.28,0.2438,9200.0,4979.96,0.0548,0.0795,25823.53,27604.86,0.0932
LA-011-1242,20876.19,22474.64,0.2877,12000.0,5727.13,0.0438,0.0466,22380.0,20057.97,0.137
LA-012-1064,21080.0,20989.55,0.2055,10666.67,4861.41,0.0575,0.0247,16000.0,16153.02,0.1397
EN-009-1002,20523.81,22738.67,0.6904,11823.53,5785.17,0.1397,0.137,18389.61,18481.97,0.211
FC-003-1028,22759.0,24165.17,0.989,8743.24,6866.76,0.2027,0.1918,20744.97,21732.14,0.4082
FC-004-1025,18446.97,19987.2,1.0849,8341.46,6206.77,0.2247,0.2,25668.71,27903.95,0.4466
KN-004-1072,17722.69,20496.35,0.326,13333.33,5671.06,0.0822,0.0877,15783.33,17386.04,0.1644
RI-005-1119,21839.57,24400.47,0.5123,11666.67,5927.23,0.1479,0.1041,16075.95,17548.3,0.2164
KN-010-1049,20058.25,21405.89,0.2822,11555.56,6317.32,0.0493,0.0575,25850.0,29378.78,0.1644
KN-005-1203,17256.64,18839.44,0.3096,9920.0,5392.28,0.0685,0.0575,20666.67,23093.43,0.1397
EN-007-1100,21579.4,25019.2,0.6384,11636.36,5945.84,0.1205,0.1205,15470.59,16285.21,0.1863
RI-006-1067,21847.22,23013.24,0.5918,11295.45,5908.53,0.1205,0.074,19632.91,23509.51,0.2164
EN-002-1050,18701.75,20396.48,0.6247,14513.51,6144.65,0.1014,0.1425,25625.0,26416.6,0.263
FC-004-1041,21991.67,24979.49,0.9863,9696.97,6527.97,0.1808,0.2027,20909.72,20287.07,0.3945
RI-004-1068,19173.68,21133.65,0.5205,11928.57,5367.45,0.0767,0.1342,21657.89,25137.78,0.2082
LA-008-1076,23696.2,25290.8,0.2164,8818.18,3899.16,0.0603,0.0849,20300.0,24057.84,0.1096
EN-008-1076,21527.27,22293.07,0.6027,10738.1,5827.02,0.1151,0.1425,19402.3,22899.41,0.2384
EN-006-1027,19783.92,22775.11,0.5452,11733.33,6087.99,0.1233,0.0986,21551.02,26271.43,0.2685
EN-009-1060,21784.0,22102.2,0.6849,10156.86,5493.17,0.1397,0.0795,18460.67,19878.64,0.2438
LA-013-1092,24009.52,23053.66,0.2877,12363.64,6360.39,0.0301,0.063,20085.71,26513.45,0.0959
FC-005-1037,22517.8,25684.22,0.8466,10154.93,6825.68,0.1945,0.2219,22931.82,25283.79,0.3616
FC-005-1026,23008.8,25763.69,0.9342,10366.2,6916.31,0.1945,0.2164,19614.86,23571.44,0.4055
FC-006-1006,23377.09,23529.12,0.9808,9116.28,6774.38,0.2356,0.1863,20279.72,22607.62,0.3918
FC-006-1023,21937.17,24100.32,1.0466,9787.5,6763.07,0.2192,0.2027,22531.65,25649.94,0.4329
RI-003-1018,22792.27,24271.73,0.5671,13129.03,6092.3,0.0849,0.1041,20518.52,22376.39,0.2219
EN-009-1092,22158.14,23302.22,0.589,10656.25,5711.39,0.0877,0.0986,20956.04,23264.62,0.2493
FC-005-1023,24118.11,24357.73,1.0438,9173.08,7477.34,0.1425,0.1781,19630.57,21137.0,0.4301
KN-004-1063,21110.09,23228.87,0.2986,11304.35,5538.58,0.063,0.0658,20921.05,23659.04,0.1041
KN-008-1081,22295.65,23826.48,0.3151,11666.67,5738.25,0.0658,0.0658,22369.57,22917.59,0.126
EN-001-1102,21512.93,25461.11,0.6356,11142.86,5626.01,0.1534,0.1151,20787.5,23910.54,0.2192
FC-002-1023,21269.97,23702.9,0.9945,8383.56,6848.82,0.2,0.2027,22269.5,23867.46,0.3863
RI-007-1030,20175.88,21807.57,0.5452,11425.0,5551.1,0.1096,0.1288,20344.09,22017.04,0.2548
KN-009-1062,17300.88,21186.2,0.3096,10730.77,5385.59,0.0712,0.0384,30333.33,34815.43,0.0986
EN-001-1089,19452.05,20039.44,0.6,11184.21,5913.13,0.1041,0.1041,20940.48,21118.34,0.2301
FC-005-1035,20891.89,23404.52,0.9123,9438.2,6470.13,0.2438,0.1644,19140.74,21759.6,0.3699
RI-001-1051,23336.68,26433.87,0.5452,11756.76,5946.08,0.1014,0.1315,17512.82,19084.73,0.2137
LA-015-1276,25562.5,24723.2,0.2192,13437.5,6937.52,0.0438,0.0438,21185.19,26457.57,0.074
EN-008-1063,20416.67,23174.44,0.6247,10740.0,5528.44,0.137,0.1151,21451.22,25949.69,0.2247
KN-003-1177,20174.31,20973.46,0.2986,12636.36,5786.24,0.0603,0.0767,16437.5,17490.31,0.1315
EN-008-1045,21253.52,20730.11,0.5836,11739.13,6009.01,0.126,0.1041,19544.44,22910.75,0.2466
FC-005-1036,23799.38,25259.64,0.8877,9780.82,6721.12,0.2,0.2192,19396.69,22820.85,0.3315
FC-005-1002,21920.97,23126.9,0.9014,9327.87,6946.75,0.1671,0.1507,21781.95,22732.42,0.3644
RI-004-1094,21652.17,25503.85,0.6301,10967.74,5647.91,0.0849,0.1178,16236.84,16576.99,0.2082
KN-010-1173,18886.36,21485.53,0.3616,12916.67,6240.94,0.0658,0.0685,19549.02,20898.15,0.1397
KN-010-1097,15955.75,17745.92,0.3096,14695.65,6334.86,0.063,0.0849,21906.98,23280.7,0.1178
LA-010-1118,23857.14,25541.43,0.2301,11687.5,5974.6,0.0438,0.0603,27500.0,32449.96,0.0986
EN-009-1012,19301.8,22198.28,0.6082,11203.7,5899.73,0.1479,0.1315,20941.86,22485.21,0.2356
LA-011-1044,27957.45,28978.27,0.2575,13000.0,5891.17,0.0493,0.0438,14410.26,13817.83,0.1068
KN-002-1106,21205.13,22258.1,0.3205,11217.39,6164.09,0.063,0.0685,20026.32,23988.16,0.1041
EN-009-1066,22445.74,24447.81,0.7068,11511.63,5852.85,0.1178,0.1233,20520.41,21636.28,0.2685
FC-001-1042,21296.2,22371.32,1.0082,9681.16,6607.69,0.189,0.2192,23798.39,21662.59,0.3397
RI-001-1017,20950.0,23199.32,0.5479,11787.23,5867.88,0.1288,0.1096,21941.18,24158.88,0.2329
RI-003-1027,17817.71,18840.56,0.526,10818.18,5266.27,0.1205,0.1068,23657.53,27797.99,0.2
LA-009-1007,23156.25,21916.75,0.263,10742.86,5392.49,0.0959,0.0466,19232.56,18454.37,0.1178
RI-008-1098,22621.62,23448.08,0.5068,13756.1,6299.92,0.1123,0.0959,19726.19,21410.14,0.2301
LA-013-1235,21989.25,23904.47,0.2548,13153.85,5683.99,0.0356,0.0274,16866.67,14299.1,0.0822
EN-009-1082,20040.82,23007.98,0.6712,10341.46,5087.29,0.1123,0.1315,20967.74,24701.46,0.2548
EN-001-1007,21946.67,24090.17,0.6164,10865.38,5608.22,0.1425,0.1397,21314.81,24492.86,0.2959
KN-004-1187,21467.74,21909.81,0.3397,10000.0,5331.14,0.0548,0.0548,17916.67,21269.13,0.1315
LA-013-1211,24284.09,26305.87,0.2411,9666.67,4434.71,0.0411,0.0329,18378.38,13883.15,0.1014
RI-005-1031,21605.26,24936.89,0.5205,11777.78,6057.4,0.0986,0.0932,20294.87,21695.12,0.2137
FC-006-1004,20858.82,22891.64,0.9315,10684.93,7253.12,0.2,0.1534,20402.78,24798.58,0.3945
KN-010-1181,20922.41,25079.75,0.3178,11884.62,5750.32,0.0712,0.063,22410.26,26894.25,0.1068
LA-012-1053,22270.83,23404.22,0.263,9611.11,5089.08,0.0493,0.0685,19521.74,19359.45,0.126
FC-002-1014,22812.12,23472.83,0.9041,9329.11,6517.67,0.2164,0.2219,19612.24,23151.51,0.4027
LA-013-1032,22861.7,20644.25,0.2575,12083.33,5991.79,0.0329,0.0466,31718.75,31523.91,0.0877
