transaction_id,number_id,ATM_id,transaction_type,transaction_start,transaction_end,transaction_amount,transaction_start_scaled,transaction_end_scaled
13,c-NIGER-2,NIGER-1,1,2018-04-04 10:53:24,2018-04-04 10:55:42,10340.09,2018-04-01 22:45:23,2018-04-01 22:45:56
2,c-NIGER-0,NIGER-4,3,2018-04-04 12:35:37,,,2018-04-01 23:09:44,
2,c-NIGER-0,NIGER-4,3,2018-04-04 12:35:37,2018-04-04 12:44:24,41458.94,2018-04-01 23:09:44,2018-04-01 23:11:50
35,c-NIGER-9,NIGER-8,0,2018-04-04 15:12:42,,,2018-04-01 23:47:10,
35,c-NIGER-9,NIGER-8,0,2018-04-04 15:12:42,2018-04-04 15:15:28,64643.52,2018-04-01 23:47:10,2018-04-01 23:47:49
14,c-NIGER-2,NIGER-1,0,2018-04-04 15:36:19,,,2018-04-01 23:52:47,
14,c-NIGER-2,NIGER-1,0,2018-04-04 15:36:19,2018-04-04 15:43:14,37251.9,2018-04-01 23:52:47,2018-04-01 23:54:26
21,c-NIGER-5,NIGER-4,3,2018-04-04 17:14:26,,,2018-04-02 00:16:10,
32,c-NIGER-7,NIGER-1,2,2018-04-04 17:14:33,,,2018-04-02 00:16:11,
21,c-NIGER-5,NIGER-4,3,2018-04-04 17:14:26,2018-04-04 17:15:39,723.42,2018-04-02 00:16:10,2018-04-02 00:16:27
32,c-NIGER-7,NIGER-1,2,2018-04-04 17:14:33,2018-04-04 17:19:51,0.0,2018-04-02 00:16:11,2018-04-02 00:17:27
3,c-NIGER-0,NIGER-4,0,2018-04-04 17:27:24,,,2018-04-02 00:19:15,
3,c-NIGER-0,NIGER-4,0,2018-04-04 17:27:24,2018-04-04 17:34:19,8009.67,2018-04-02 00:19:15,2018-04-02 00:20:54
36,c-NIGER-9,EXT-2,1,2018-04-04 18:43:01,,,2018-04-02 00:37:16,
36,c-NIGER-9,EXT-2,1,2018-04-04 18:43:01,2018-04-04 18:48:27,18627.07,2018-04-02 00:37:16,2018-04-02 00:38:33
4,c-NIGER-0,NIGER-6,0,2018-04-04 23:07:28,,,2018-04-02 01:40:16,
4,c-NIGER-0,NIGER-6,0,2018-04-04 23:07:28,2018-04-04 23:10:48,13755.34,2018-04-02 01:40:16,2018-04-02 01:41:03
6,c-NIGER-0,NIGER-8,0,2018-04-04 23:38:57,,,2018-04-02 01:47:46,
6,c-NIGER-0,NIGER-8,0,2018-04-04 23:38:57,2018-04-04 23:39:02,27510.68,2018-04-02 01:47:46,2018-04-02 01:47:47
20,c-NIGER-4,NIGER-9,0,2018-04-05 01:31:01,,,2018-04-02 02:14:27,
20,c-NIGER-4,NIGER-9,0,2018-04-05 01:31:01,2018-04-05 01:34:15,1106.44,2018-04-02 02:14:27,2018-04-02 02:15:14
27,c-NIGER-6,NIGER-4,3,2018-04-05 04:22:01,,,2018-04-02 02:55:12,
27,c-NIGER-6,NIGER-4,3,2018-04-05 04:22:01,2018-04-05 04:29:14,53240.71,2018-04-02 02:55:12,2018-04-02 02:56:55
37,c-NIGER-9,EXT-0,0,2018-04-05 04:50:18,,,2018-04-02 03:01:56,
37,c-NIGER-9,EXT-0,0,2018-04-05 04:50:18,2018-04-05 04:54:27,73952.27,2018-04-02 03:01:56,2018-04-02 03:02:55
28,c-NIGER-6,NIGER-6,0,2018-04-05 06:55:29,,,2018-04-02 03:31:45,
28,c-NIGER-6,NIGER-6,0,2018-04-05 06:55:29,2018-04-05 06:59:03,32833.29,2018-04-02 03:31:45,2018-04-02 03:32:36
46,c-NIGER-11,EXT-0,0,2018-04-05 09:20:23,,,2018-04-02 04:06:16,
46,c-NIGER-11,EXT-0,0,2018-04-05 09:20:23,2018-04-05 09:24:36,6681.78,2018-04-02 04:06:16,2018-04-02 04:07:17
47,c-NIGER-11,EXT-2,0,2018-04-05 10:46:52,,,2018-04-02 04:26:53,
47,c-NIGER-11,EXT-2,0,2018-04-05 10:46:52,2018-04-05 10:49:39,14529.43,2018-04-02 04:26:53,2018-04-02 04:27:32
5,c-NIGER-0,NIGER-7,3,2018-04-05 11:38:51,,,2018-04-02 04:39:16,
38,c-NIGER-9,NIGER-8,0,2018-04-05 11:40:38,,,2018-04-02 04:39:41,
5,c-NIGER-0,NIGER-7,3,2018-04-05 11:38:51,2018-04-05 11:43:43,28999.46,2018-04-02 04:39:16,2018-04-02 04:40:25
38,c-NIGER-9,NIGER-8,0,2018-04-05 11:40:38,2018-04-05 11:44:58,23606.79,2018-04-02 04:39:41,2018-04-02 04:40:43
22,c-NIGER-5,NIGER-6,0,2018-04-05 14:52:23,,,2018-04-02 05:25:22,
22,c-NIGER-5,NIGER-6,0,2018-04-05 14:52:23,2018-04-05 14:59:38,49982.04,2018-04-02 05:25:22,2018-04-02 05:27:05
9,c-NIGER-1,EXT-0,3,2018-04-05 15:19:24,,,2018-04-02 05:31:48,
9,c-NIGER-1,EXT-0,3,2018-04-05 15:19:24,2018-04-05 15:26:35,35495.86,2018-04-02 05:31:48,2018-04-02 05:33:31
41,c-NIGER-10,EXT-1,0,2018-04-05 16:30:48,,,2018-04-02 05:48:49,
41,c-NIGER-10,EXT-1,0,2018-04-05 16:30:48,2018-04-05 16:38:13,15882.07,2018-04-02 05:48:49,2018-04-02 05:50:35
23,c-NIGER-5,NIGER-6,1,2018-04-05 21:04:17,,,2018-04-02 06:53:58,
23,c-NIGER-5,NIGER-6,1,2018-04-05 21:04:17,2018-04-05 21:09:21,11713.23,2018-04-02 06:53:58,2018-04-02 06:55:10
48,c-NIGER-11,EXT-2,3,2018-04-05 23:54:24,,,2018-04-02 07:34:29,
48,c-NIGER-11,EXT-2,3,2018-04-05 23:54:24,2018-04-06 00:00:00,42276.18,2018-04-02 07:34:29,2018-04-02 07:35:49
49,c-NIGER-11,EXT-3,3,2018-04-06 00:33:10,,,2018-04-02 07:43:43,
49,c-NIGER-11,EXT-3,3,2018-04-06 00:33:10,2018-04-06 00:33:15,84552.36,2018-04-02 07:43:43,2018-04-02 07:43:45
