ATM_id,loc_latitude,loc_longitude,city,country
KANO-71,6.600302,7.694174,Enugu,Nigeria
KANO-72,4.811536,7.129101,Eleme,Nigeria
KANO-73,11.171501,8.336212,Kano,Nigeria
KANO-74,4.83162,7.174941,Oyigbo,Nigeria
KANO-75,6.343341,3.338065,Lagos,Nigeria
KANO-76,6.543913,3.285373,Lagos,Nigeria
KANO-77,6.353329,3.373226,Lagos,Nigeria
KANO-78,11.058418,8.181248,Kano,Nigeria
KANO-79,9.060592,7.593572,Abuja,Nigeria
KANO-80,4.809232,6.952816,Port Harcourt,Nigeria
KANO-81,6.476888,3.516818,Lagos,Nigeria
KANO-82,4.525037,7.190642,Bonny,Nigeria
KANO-83,12.405464,8.423579,Kano,Nigeria
KANO-84,8.16632,6.769038,Oji,Nigeria
KANO-85,4.552574,7.549597,Opobo,Nigeria
KANO-86,5.942177,7.788998,Enugu,Nigeria
KANO-87,9.127428,7.637827,Abuja,Nigeria
KANO-88,6.080859,7.456984,Awgu,Nigeria
KANO-89,5.081445,6.670764,Ahoada,Nigeria
KANO-90,6.32132,3.453934,Lagos,Nigeria
KANO-91,9.00822,7.41498,Abuja,Nigeria
KANO-92,6.900954,7.194305,Enugu,Nigeria
KANO-93,9.027391,7.572047,Abuja,Nigeria
KANO-94,6.33934,3.23609,Lagos,Nigeria
KANO-95,6.490577,6.979254,Enugu,Nigeria
KANO-96,6.586396,3.27681,Lagos,Nigeria
KANO-97,6.453751,3.458392,Lagos,Nigeria
KANO-98,6.308967,3.384879,Lagos,Nigeria
KANO-99,6.379849,3.488876,Lagos,Nigeria
KANO-100,4.798965,7.111049,Obio-Akpor,Nigeria
KANO-101,4.663993,7.325813,Gokana,Nigeria
KANO-102,9.107496,7.59422,Abuja,Nigeria
KANO-103,8.159612,6.774046,Oji,Nigeria
KANO-104,6.561367,3.533771,Lagos,Nigeria
KANO-105,6.318133,3.512852,Lagos,Nigeria
KANO-106,11.978749,7.837215,Kano,Nigeria
KANO-107,6.543434,3.45926,Lagos,Nigeria
KANO-108,6.468475,3.520833,Lagos,Nigeria
KANO-109,4.840405,7.116481,Obio-Akpor,Nigeria
KANO-110,6.474174,6.934057,Enugu,Nigeria
KANO-111,7.04814,6.948712,Enugu,Nigeria
KANO-112,6.609502,3.317499,Lagos,Nigeria
KANO-113,6.098966,7.450765,Awgu,Nigeria
KANO-114,6.469655,3.29323,Lagos,Nigeria
KANO-115,10.940555,8.353768,Kano,Nigeria
KANO-116,12.421302,7.801061,Kano,Nigeria
KANO-117,6.464344,3.537252,Lagos,Nigeria
KANO-118,6.030224,7.662514,Enugu,Nigeria
KANO-119,10.77392,9.313936,Kano,Nigeria
KANO-120,5.858705,7.937511,Nkanu,Nigeria
KANO-121,4.647611,7.070254,Okrika,Nigeria
KANO-122,6.503341,3.333977,Lagos,Nigeria
KANO-123,9.048887,7.526216,Abuja,Nigeria
KANO-124,6.482516,3.442023,Lagos,Nigeria
KANO-125,6.481501,3.280598,Lagos,Nigeria
KANO-126,6.75433,7.646285,Enugu,Nigeria
KANO-127,4.863631,6.934342,Obio-Akpor,Nigeria
KANO-128,11.267047,8.826497,Kano,Nigeria
KANO-129,11.191069,8.085372,Kano,Nigeria
KANO-130,10.816186,8.063443,Kano,Nigeria
KANO-131,12.425678,8.132501,Kano,Nigeria
KANO-132,11.921944,8.816019,Kano,Nigeria
KANO-133,6.470587,3.255326,Lagos,Nigeria
KANO-134,10.584621,8.116362,Kano,Nigeria
KANO-135,9.15885,7.437369,Abuja,Nigeria
KANO-136,4.701258,7.171883,Okrika,Nigeria
KANO-137,4.805658,7.084345,Obio-Akpor,Nigeria
KANO-138,5.879716,7.965691,Nkanu,Nigeria
KANO-139,9.033037,7.396673,Abuja,Nigeria
KANO-140,8.950761,7.624872,Abuja,Nigeria
KANO-141,6.175367,7.666789,Enugu,Nigeria
KANO-142,9.14998,7.370479,Abuja,Nigeria
KANO-143,6.722925,7.356011,Nsukka,Nigeria
KANO-144,6.161451,7.604931,Enugu,Nigeria
KANO-145,6.76878,7.011315,Enugu,Nigeria
KANO-146,6.489165,3.313389,Lagos,Nigeria
KANO-147,6.583794,3.467579,Lagos,Nigeria
KANO-148,5.849459,7.945325,Nkanu,Nigeria
KANO-149,5.867126,7.949616,Nkanu,Nigeria
